pickup_zipcode,dropoff_zipcode,trip_time_in_secs
7305,11231,1400.0
7306,7032,510.0
7306,7104,1200.0
7306,7114,1560.0
7306,7302,420.0
7306,7304,340.0
7306,7306,160.78787878787878
7306,7307,240.0
7306,7606,780.0
7306,10009,720.0
7306,10012,660.0
7306,10023,158.0
7306,10024,1789.0
7306,10036,660.0
7306,10069,720.0
7306,10128,1320.0
7306,10154,540.0
7306,10165,480.0
7306,11215,1867.0
7306,11370,1860.0
7306,11371,1380.0
7307,7032,1260.0
7307,7075,1740.0
7307,7086,877.0
7307,7087,1380.0
7307,7093,1440.0
7307,7114,1392.0
7307,7302,766.0
7307,7306,420.0
7307,7307,135.32432432432432
7307,10001,648.0
7307,10011,1440.0
7307,10014,540.0
7307,10112,1020.0
7307,10128,1320.0
7307,10278,329.0
7310,7002,1200.0
7310,7029,780.0
7310,7030,367.3333333333333
7310,7070,1634.0
7310,7087,1140.0
7310,7102,960.0
7310,7105,720.0
7310,7114,1530.4444444444443
7310,7201,1080.0
7310,7302,381.54545454545456
7310,7304,2004.5
7310,7306,660.0
7310,7307,420.0
7310,7310,88.13274336283186
7310,7732,420.0
7310,10001,954.0
7310,10003,660.0
7310,10004,1161.5
7310,10006,633.0
7310,10009,926.5
7310,10010,810.0
7310,10012,792.0
7310,10013,672.0
7310,10014,560.0
7310,10018,2340.0
7310,10020,1050.0
7310,10021,1080.0
7310,10022,1560.0
7310,10023,780.0
7310,10026,1342.0
7310,10029,764.0
7310,10036,1794.5
7310,10065,1080.0
7310,10111,720.0
7310,10119,420.0
7310,10128,1200.0
7310,10167,900.0
7310,10282,840.0
7310,11105,1435.0
7310,11201,840.0
7310,11214,1440.0
7310,11217,4380.0
7310,11220,1344.0
7310,11372,2344.0
7311,7302,300.0
7311,7305,675.0
7311,7311,198.5
7311,10003,1320.0
7311,10004,1140.0
7311,10010,720.0
7311,10016,810.0
7311,10021,360.0
7311,10280,660.0
7311,11215,240.0
7311,11231,600.0
7405,7005,600.0
7405,7405,660.0
7410,7410,60.0
7410,10004,653.0
7410,10027,1085.0
7430,10020,2940.0
7435,10016,300.0
7435,10036,780.0
7439,7416,1320.0
7439,7439,600.0
7440,7440,360.0
7440,10075,300.0
7442,11371,1200.0
7444,7442,540.0
7452,7410,600.0
7452,10019,720.0
7470,7440,240.0
7470,7470,210.0
7495,7495,35.0
7502,7502,120.0
7503,7503,80.0
7503,10016,822.0
7504,7514,360.0
7512,7512,90.0
7601,7601,40.5
7601,7632,1500.0
7601,10549,1080.0
7603,7601,480.0
7603,7603,110.33333333333333
7603,7605,600.0
7603,7661,1140.0
7603,7666,690.0
7604,7604,152.0
7605,7024,270.0
7605,7605,80.0
7605,7631,298.0
7605,7650,240.0
7605,7666,540.0
7605,10006,840.0
7605,10022,1320.0
7605,10467,1140.0
7605,11797,600.0
7606,7606,240.0
7606,11430,2100.0
7607,7607,152.0
7607,7644,690.0
7607,7662,660.0
7607,10014,1560.0
7608,7012,1560.0
7608,7057,900.0
7608,7606,120.0
7608,7608,405.0
7621,7047,540.0
7621,7603,840.0
7621,7621,450.0
7621,7646,1200.0
7621,7666,300.0
7621,7670,720.0
7624,10024,720.0
7626,10705,420.0
7627,7627,102.0
7627,10011,1020.0
7628,7628,0.0
7630,10069,840.0
7631,7621,540.0
7631,7631,448.47058823529414
7631,7632,540.0
7631,7670,720.0
7631,10960,1860.0
7632,7631,222.0
7632,7632,300.0
7632,10704,1320.0
7640,10065,1080.0
7640,10965,540.0
7643,7022,300.0
7643,7047,390.0
7643,7075,960.0
7643,7643,120.0
7643,7657,600.0
7643,7660,600.0
7643,10069,1260.0
7644,7026,300.0
7644,7644,120.0
7646,7607,960.0
7646,10012,660.0
7647,7647,60.0
7648,10024,480.0
7648,11232,540.0
7649,7649,120.0
7650,7010,420.0
7650,7650,270.0
7650,7657,360.0
7650,10026,840.0
7650,10032,720.0
7652,7452,840.0
7652,7652,523.5
7657,7022,410.0
7657,7047,180.0
7657,7074,900.0
7657,7086,720.0
7657,7605,420.0
7657,7650,240.0
7657,7657,150.33333333333334
7657,7660,900.0
7657,10010,1320.0
7657,10065,600.0
7657,10075,726.0
7660,7631,660.0
7660,7643,420.0
7660,7657,1020.0
7660,7660,236.0
7661,7661,197.0
7662,7652,420.0
7663,7663,55.5
7666,7417,962.0
7666,7621,390.0
7666,7666,97.75
7666,7670,660.0
7666,10033,1080.0
7670,7621,540.0
7670,7631,540.0
7670,7646,420.0
7670,7670,167.4
7670,10128,120.0
7675,10174,480.0
7721,7721,60.0
7721,10069,1200.0
7732,7732,630.0
7732,7760,600.0
7732,10010,240.0
7732,10154,300.0
7732,10173,120.0
7732,10278,660.0
7734,7758,540.0
7734,10282,1020.0
7740,7740,420.0
7740,10012,600.0
7740,10065,540.0
7750,7750,300.0
7750,7756,540.0
7750,10119,960.0
7750,11102,1560.0
7760,10012,540.0
7760,10019,360.0
7760,10128,420.0
7801,7849,420.0
7822,7461,960.0
7822,7822,660.0
7825,7825,600.0
7826,7826,570.0
7826,7827,180.0
7827,18337,1200.0
7830,10010,360.0
7830,10016,1200.0
7834,7834,350.6666666666667
7838,11201,1020.0
7847,7005,2220.0
7849,7439,1560.0
7853,10025,600.0
7866,7801,1080.0
7881,7825,240.0
7881,7881,840.0
7882,11205,1020.0
7901,7901,450.0
7901,7928,720.0
7901,10020,420.0
7921,10020,1740.0
7924,10165,840.0
7927,7803,1800.0
7927,7927,560.0
7931,10278,720.0
7932,7981,780.0
7932,10024,120.0
7939,7939,40.0
7939,10167,2340.0
7940,7940,810.0
7945,10065,1200.0
7945,10119,420.0
7950,7834,840.0
7960,6901,2820.0
7960,7927,102.0
7960,10014,120.0
7976,10003,300.0
7981,7927,780.0
7981,7981,504.0
8203,10455,1260.0
8550,8550,23.0
8735,10119,840.0
8738,10012,1200.0
8738,10119,540.0
8802,8829,960.0
8802,10016,1140.0
8820,8820,0.0
8822,8822,60.0
8826,8876,1440.0
8826,10012,240.0
8826,10119,840.0
8826,11430,2460.0
8829,7830,420.0
8829,10065,360.0
8830,8830,54.0
8833,8833,35.5
8835,8880,360.0
8837,8837,36.0
8840,8840,150.0
8859,8882,600.0
8861,11430,1860.0
8863,8863,120.0
8865,10014,660.0
8869,8869,60.0
8886,8886,510.0
8886,10014,540.0
8886,10020,1740.0
10001,7022,1380.0
10001,7029,963.0
10001,7030,587.2727272727273
10001,7074,900.0
10001,7086,520.0
10001,7087,843.6666666666666
10001,7093,840.0
10001,7110,1140.0
10001,7114,1575.7446808510638
10001,7302,1167.6666666666667
10001,7304,1500.0
10001,7305,1380.0
10001,7307,979.8333333333334
10001,7310,955.6666666666666
10001,7470,1980.0
10001,7522,2026.0
10001,7601,1560.0
10001,7605,1980.0
10001,7627,1620.0
10001,7631,1200.0
10001,10001,339.06709956709955
10001,10002,1157.8260869565217
10001,10003,710.8610547667342
10001,10004,965.11875
10001,10005,983.6521739130435
10001,10006,899.0994764397906
10001,10007,866.4478527607362
10001,10009,958.3011049723757
10001,10010,620.6489479512735
10001,10011,343.49176470588236
10001,10012,873.0735586481113
10001,10013,711.4170506912442
10001,10014,485.90226171243944
10001,10016,626.1400233372228
10001,10017,828.5398230088496
10001,10018,381.64014801110085
10001,10019,376.2649955237243
10001,10020,562.5024177949709
10001,10021,893.0891472868217
10001,10022,834.2224409448819
10001,10023,488.9525316455696
10001,10024,629.1636771300448
10001,10025,731.8255813953489
10001,10026,991.1368421052632
10001,10027,761.90625
10001,10028,1047.0759493670887
10001,10029,1060.9130434782608
10001,10030,1083.8
10001,10031,963.1730769230769
10001,10032,970.8269230769231
10001,10033,1140.1290322580646
10001,10034,1202.6666666666667
10001,10035,1166.2272727272727
10001,10036,318.1776978417266
10001,10037,1182.576923076923
10001,10038,1095.0533333333333
10001,10039,1080.888888888889
10001,10040,1080.3
10001,10044,1055.888888888889
10001,10065,854.4148606811145
10001,10069,447.5045045045045
10001,10075,974.1142857142858
10001,10103,1101.75
10001,10111,712.7443438914028
10001,10112,620.6113537117903
10001,10115,850.0
10001,10119,419.1891793754539
10001,10128,1013.5727272727273
10001,10154,910.4538152610442
10001,10165,620.9872262773723
10001,10167,892.6720257234726
10001,10168,651.7432950191571
10001,10170,750.5925925925926
10001,10173,628.0984375
10001,10174,765.7639751552795
10001,10199,293.78823529411767
10001,10278,945.906432748538
10001,10280,831.344262295082
10001,10282,679.8697183098592
10001,10303,2177.0
10001,10304,1740.0
10001,10308,2700.0
10001,10451,1600.0
10001,10452,1520.0
10001,10453,1131.4285714285713
10001,10454,1016.0
10001,10455,1520.0
10001,10456,1320.0
10001,10457,1230.0
10001,10458,1440.5
10001,10459,1200.0
10001,10460,1260.0
10001,10461,1775.5
10001,10462,1601.125
10001,10463,1246.8
10001,10465,1320.0
10001,10467,1500.0
10001,10468,1507.5
10001,10469,1770.0
10001,10470,1200.0
10001,10471,1236.0
10001,10473,1271.0
10001,10507,4144.0
10001,11101,1193.111111111111
10001,11102,1304.5172413793102
10001,11103,1453.2105263157894
10001,11104,1138.1304347826087
10001,11105,1659.5416666666667
10001,11106,1132.5
10001,11109,1033.0344827586207
10001,11201,1267.5384615384614
10001,11204,2010.0
10001,11205,1552.2903225806451
10001,11206,1463.138888888889
10001,11207,2211.0
10001,11209,1488.6
10001,11211,1445.4356435643565
10001,11213,1768.857142857143
10001,11214,2261.3333333333335
10001,11215,1563.132075471698
10001,11216,1893.75
10001,11217,1423.142857142857
10001,11218,1553.6666666666667
10001,11219,1630.0
10001,11220,1359.8
10001,11221,1817.1666666666667
10001,11222,1520.7166666666667
10001,11223,2380.0
10001,11225,1650.578947368421
10001,11226,1758.0
10001,11228,1320.0
10001,11229,1440.0
10001,11230,1903.75
10001,11231,1338.56
10001,11232,1510.0
10001,11233,2313.0
10001,11234,3030.0
10001,11236,2288.5
10001,11237,1789.4444444444443
10001,11238,1658.5714285714287
10001,11354,1854.5
10001,11355,1260.0
10001,11356,660.0
10001,11357,2100.0
10001,11363,1860.0
10001,11364,2100.0
10001,11365,1740.0
10001,11367,1586.0
10001,11368,2220.0
10001,11369,1850.0098039215686
10001,11370,1840.0
10001,11371,1707.837837837838
10001,11372,1404.5
10001,11373,1789.4444444444443
10001,11374,1410.0
10001,11375,1683.7142857142858
10001,11377,1551.2222222222222
10001,11378,1120.0
10001,11379,1320.0
10001,11385,1860.0
10001,11412,1987.0
10001,11417,1680.0
10001,11419,2940.0
10001,11420,3660.0
10001,11421,1900.0
10001,11430,2516.887417218543
10001,11432,1830.0
10001,11436,2418.4615384615386
10002,7002,1860.0
10002,7014,1740.0
10002,7024,1200.0
10002,7028,2471.0
10002,7029,1560.0
