pickup_zipcode,dropoff_zipcode,trip_time_in_secs
10004,10304,1680.0
10004,10305,1680.0
10004,10312,3180.0
10004,10451,1230.0
10004,10452,1440.0
10004,10453,1640.0
10004,10460,1500.0
10004,10462,1500.0
10004,10463,1320.0
10004,10471,2100.0
10004,10473,1440.0
10004,11101,1260.0
10004,11102,1764.0
10004,11103,1155.0
10004,11104,1251.4285714285713
10004,11105,1380.0
10004,11106,1342.5
10004,11109,1020.0
10004,11201,649.0909090909091
10004,11203,1770.0
10004,11204,1440.0
10004,11205,905.4545454545455
10004,11206,1332.0
10004,11207,2400.0
10004,11209,1282.5
10004,11210,2100.0
10004,11211,1030.909090909091
10004,11213,1320.0
10004,11214,1140.0
10004,11215,1144.2857142857142
10004,11216,1800.0
10004,11217,883.8461538461538
10004,11218,990.0
10004,11220,1050.0
10004,11221,1560.0
10004,11222,1200.0
10004,11223,2280.0
10004,11224,1710.0
10004,11225,1360.0
10004,11226,1540.0
10004,11228,1470.0
10004,11229,1530.0
10004,11230,1380.0
10004,11231,774.0
10004,11232,1040.0
10004,11233,2880.0
10004,11234,1500.0
10004,11235,1290.0
10004,11237,960.0
10004,11238,993.3333333333334
10004,11354,1620.0
10004,11357,2100.0
10004,11361,1440.0
10004,11369,1940.0
10004,11370,1380.0
10004,11371,1742.5
10004,11372,1380.0
10004,11373,2240.0
10004,11374,1665.0
10004,11375,1440.0
10004,11377,1005.0
10004,11378,1320.0
10004,11379,1200.0
10004,11413,1980.0
10004,11415,1500.0
10004,11417,1980.0
10004,11420,2220.0
10004,11421,1560.0
10004,11430,2183.076923076923
10004,11432,1740.0
10004,11435,2340.0
10004,11436,3000.0
10005,7030,960.0
10005,7307,1020.0
10005,7645,3960.0
10005,10001,960.0
10005,10002,480.0
10005,10003,1200.0
10005,10004,888.0
10005,10005,120.0
10005,10006,480.0
10005,10007,480.0
10005,10009,637.5
10005,10010,760.0
10005,10011,800.0
10005,10012,840.0
10005,10013,666.0
10005,10014,900.0
10005,10016,885.0
10005,10017,1530.0
10005,10018,1350.0
10005,10019,1620.0
